"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda"
"1",9784,"Apartamento com  Quarto a  Venda, 40m2","Rua Silveiro",375,"Menino Deus",40,1,1,0,220000,5500,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.3013830184937,3969,2.74727082252502
"2",782,"Apartamento com 2 Quartos a  Venda, 61m2","Rua Vasco da Gama",1111,"Bom Fim",61,2,1,0,350000,5737.70491803279,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.7656888961792,3969,2.76001000404358
"3",443,"Apartamento com  Quarto a  Venda, 45m2","sem info",9999,"Cidade Baixa",45,1,1,0,265000,5888.88888888889,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.4874849319458,3969,2.41591382026672
"4",5983,"Apartamento com 2 Quartos a  Venda, 65m2","Avenida Baltazar de Oliveira Garcia",2730,"Rubem Berta",65,2,1,0,165000,2538.46153846154,4314902063,3973,505.316442816443,54,92.4,851,78624,4.05,12.0137004852295,2916,1.39871692657471
"5",2904,"Apartamento com 3 Quartos a  Venda, 108m2","sem info",9999,"Rio Branco",108,3,2,0,360000,3333.33333333333,4314902042,1212,635.586554093031,63,140.2,136,19069,20.5,12.7938594818115,3969,3.02042484283447
"6",8561,"Apartamento com 2 Quartos a  Venda, 67m2","sem info",9999,"Petropolis",67,2,1,0,275000,4104.4776119403,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,12.5245265960693,3969,3.01406311988831
"7",8494,"Apartamento com 3 Quartos a  Venda, 86m2","Rua Botafogo",831,"Menino Deus",86,3,2,0,480000,5581.39534883721,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,13.0815410614014,3969,2.74727082252502
"8",3139,"Apartamento com  Quarto a  Venda, 36m2","Rua Sao Lues",333,"Santana",36,1,1,0,119000,3305.55555555556,4314902007,1623,764.808444465388,63,142.4,149,21221,13.93,11.68687915802,3969,2.63404488563538
"9",3495,"Apartamento com  Quarto a  Venda, 30m2","sem info",9999,"Centro Historico",30,1,1,0,144800,4826.66666666667,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,11.8831090927124,3969,2.53449010848999
"10",8782,"Apartamento com 2 Quartos a  Venda, 49m2","sem info",9999,"Coronel Aparicio Borges",49,2,1,0,170000,3469.38775510204,4314902013,773,339.243395067146,63,82,278,22786,4.33,12.043553352356,3969,1.46556758880615
"11",1459,"Apartamento com  Quarto a  Venda, 30m2","Rua Chile",9999,"Jardim Botanico",30,1,1,0,139900,4663.33333333333,4314902018,727,632.503915086132,63,56.6,203,11494,12.32,11.8486833572388,3969,2.51122403144836
"12",474,"Apartamento com  Quarto a  Venda, 49m2","sem info",9999,"Centro Historico",49,1,2,0,139900,2855.10204081633,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,11.8486833572388,3969,2.53449010848999
"13",2605,"Apartamento com  Quarto a  Venda, 44m2","Rua Professor Cristiano Fischer",120,"Petropolis",44,1,1,0,191000,4340.90909090909,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,12.1600284576416,3969,3.01406311988831
"14",1515,"Apartamento com 2 Quartos a  Venda, 62m2","Rua Honorio Silveira Dias",740,"Sao Joao",62,2,1,0,220000,3548.38709677419,4314902046,1799,1358.96661127058,63,26.9,492,13238,12.14,12.3013830184937,3969,2.49650573730469
"15",1999,"Apartamento com 2 Quartos a  Venda, 66m2","Rua Dona Eugenia",614,"Bom Fim",66,2,1,0,228000,3454.54545454545,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.337100982666,3969,2.76001000404358
"16",1279,"Apartamento com 2 Quartos a  Venda, 58m2","Rua Ventos do Sul",9999,"Vila Nova",58,2,1,0,135000,2327.58620689655,4314902032,1416,427.213757731181,63,32.1,1031,33145,5.35,11.8130302429199,3969,1.6770966053009
"17",1393,"Apartamento com 3 Quartos a  Venda, 130m2","Rua Ramiro Barcelos",1853,"Bom Fim",130,3,2,0,499000,3838.46153846154,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,13.120361328125,3969,2.76001000404358
"18",2864,"Apartamento com 3 Quartos a  Venda, 110m2","Rua Coronel Fernando Machado",169,"Centro Historico",110,3,1,0,3e+05,2727.27272727273,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.6115379333496,3969,2.53449010848999
"19",3366,"Apartamento com  Quarto a  Venda, 47m2","Rua Demetrio Ribeiro",973,"Centro Historico",47,1,1,0,198000,4212.76595744681,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.1960220336914,3969,2.53449010848999
"20",9660,"Apartamento com 2 Quartos a  Venda, 59m2","Rua Euclydes da Cunha",120,"Partenon",59,2,1,0,235000,3983.05084745763,4314902015,2817,593.552465233881,36,83.3,570,47460,7.54,12.3673410415649,1296,2.02022218704224
"21",9953,"Apartamento com  Quarto a  Venda, 46m2","Rua Itarare",9999,"Jardim Sao Pedro",46,1,1,0,204900,4454.34782608696,4314902052,213,532.766383191596,63,43.5,92,3998,10.31,12.2302770614624,3969,2.33311438560486
