"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda","rendaalta","central","grande","pequeno","novo","counter"
"1",1290,"Apartamento com 2 Quartos a  Venda, 141m2","Rua Comendador Rheingantz",42,"Auxiliadora",141,2,2,1,740000,5248.22695035461,14,770,771.156735102654,63,121.8,82,9985,19.57,13.5144052505493,3969,2.9739978313446,0,1,0,0,0,339
"2",3570,"Apartamento com 3 Quartos a  Venda, 83m2","Avenida Nova York",365,"Auxiliadora",83,3,2,0,340000,4096.38554216867,14,770,771.156735102654,63,121.8,82,9985,19.57,12.7367010116577,3969,2.9739978313446,0,1,0,0,0,339
"3",6315,"Apartamento com 3 Quartos a  Venda, 86m2","Avenida Nova York",261,"Auxiliadora",86,3,2,0,239000,2779.06976744186,14,770,771.156735102654,63,121.8,82,9985,19.57,12.3842191696167,3969,2.9739978313446,0,1,0,0,0,339
"4",962,"Apartamento com  Quarto a  Venda, 36m2","sem info",9999,"Auxiliadora",36,1,1,0,170000,4722.22222222222,14,770,771.156735102654,63,121.8,82,9985,19.57,12.043553352356,3969,2.9739978313446,0,1,0,1,0,339
"5",3552,"Apartamento com 3 Quartos a  Venda, 105m2","Avenida Nova York",211,"Auxiliadora",105,3,3,1,550000,5238.09523809524,14,770,771.156735102654,63,121.8,82,9985,19.57,13.2176733016968,3969,2.9739978313446,0,1,0,0,0,339
"6",4967,"Apartamento com 3 Quartos a  Venda, 101m2","Rua Comendador Rheingantz",94,"Auxiliadora",101,3,2,2,848000,8396.0396039604,14,770,771.156735102654,63,121.8,82,9985,19.57,13.6506357192993,3969,2.9739978313446,0,1,0,0,0,339
"7",3427,"Apartamento com 3 Quartos a  Venda, 107m2","Rua Marcelo Gama",1356,"Auxiliadora",107,3,3,1,629000,5878.5046728972,14,770,771.156735102654,63,121.8,82,9985,19.57,13.3518867492676,3969,2.9739978313446,0,1,0,0,0,339
"8",6941,"Apartamento com 2 Quartos a  Venda, 70m2","Rua Artur Rocha",10,"Auxiliadora",70,2,2,1,409900,5855.71428571429,14,770,771.156735102654,63,121.8,82,9985,19.57,12.9236688613892,3969,2.9739978313446,0,1,0,0,0,339
"9",4455,"Apartamento com  Quarto a  Venda, 59m2","Avenida Carlos Gomes",1130,"Auxiliadora",59,1,1,0,951977,16135.2033898305,14,770,771.156735102654,63,121.8,82,9985,19.57,13.7662963867188,3969,2.9739978313446,0,1,0,0,0,339
"10",381,"Apartamento com 3 Quartos a  Venda, 125m2","Avenida Carlos Gomes",333,"Auxiliadora",125,3,3,1,650000,5200,14,770,771.156735102654,63,121.8,82,9985,19.57,13.3847274780273,3969,2.9739978313446,0,1,0,0,0,339
