Ordem,Titulo,metros,Endereco,Numero,Area,Bairro,Preco,Preco_m2,Preco_m2_mean,Quartos,Banheiros,Vagas,Preco_mean,Quartos_mean,Banheiros_mean,Vagas_mean,Area_mean,center,x_stub,y_stub,OBJECTID,NOME,cod_bairro,qtde_bo,bo_per_capita,dens_pop,areaHa,pop_2010,renda_med_dom_SM_mes,lnpreco,lnrenda,rendaalta,central,grande,pequeno,n_apartamentos,lnpreco_m2,iptu_2021,itbi_2021,itbi_pc,iptu_pc,precomean_bairro,mean_quarto,zona1,zona2,zona3,zona4,zona5,zona6,zona7,zona8,zona9,zona10,n_zona,praia_belas
1594,Apartamento com 3 Quartos a† Venda, 95m2,Alameda Victor Adalberto Kessler,114,95,Auxiliadora,700000,7368.42,8035.39,3,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.45884,2.973998,0,1,0,0,339,8.904959,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
7445,Apartamento com  Quarto a† Venda, 43m2,Avenida America,9999,43,Auxiliadora,199000,4627.91,8035.39,1,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.20106,2.973998,0,1,0,0,339,8.43986,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
6611,Apartamento com 3 Quartos a† Venda, 175m2,Avenida Carlos Gomes,935,175,Auxiliadora,970000,5542.86,8035.39,3,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.78505,2.973998,0,1,0,0,339,8.620265,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3171,Apartamento com 3 Quartos a† Venda, 97m2,Avenida Carlos Gomes,9999,97,Auxiliadora,420000,4329.90,8035.39,3,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.94801,2.973998,0,1,0,0,339,8.373299,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
1878,Apartamento com 2 Quartos a† Venda, 52m2,Avenida Carlos Gomes,531,52,Auxiliadora,275000,5288.46,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.52453,2.973998,0,1,0,0,339,8.573282,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
8990,Apartamento com 2 Quartos a† Venda, 50m2,Avenida Carlos Gomes,531,50,Auxiliadora,210000,4200.00,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.25486,2.973998,0,1,0,0,339,8.34284,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
9613,Apartamento com 3 Quartos a† Venda, 258m2,Avenida Carlos Gomes,9999,258,Auxiliadora,1800000,6976.74,8035.39,3,5,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,14.4033,2.973998,0,1,1,0,339,8.850338,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3401,Apartamento com 3 Quartos a† Venda, 124m2,Avenida Carlos Gomes,9999,124,Auxiliadora,890000,7177.42,8035.39,3,4,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.69898,2.973998,0,1,0,0,339,8.878695,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
5192,Apartamento com 3 Quartos a† Venda, 124m2,Avenida Carlos Gomes,9999,124,Auxiliadora,890000,7177.42,8035.39,3,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.69898,2.973998,0,1,0,0,339,8.878695,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
4455,Apartamento com  Quarto a† Venda, 59m2,Avenida Carlos Gomes,1130,59,Auxiliadora,951977,16135.20,8035.39,1,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.7663,2.973998,0,1,0,0,339,9.688759,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
5304,Apartamento com 3 Quartos a† Venda, 124m2,Avenida Carlos Gomes,9999,124,Auxiliadora,890000,7177.42,8035.39,3,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.69898,2.973998,0,1,0,0,339,8.878695,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
381,Apartamento com 3 Quartos a† Venda, 125m2,Avenida Carlos Gomes,333,125,Auxiliadora,650000,5200.00,8035.39,3,3,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.38473,2.973998,0,1,0,0,339,8.556414,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
1123,Apartamento com 2 Quartos a† Venda, 81m2,Avenida Carlos Gomes,271,81,Auxiliadora,470000,5802.47,8035.39,2,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.06049,2.973998,0,1,0,0,339,8.666039,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
6685,Apartamento com 3 Quartos a† Venda, 124m2,Avenida Carlos Gomes,257,124,Auxiliadora,890000,7177.42,8035.39,3,1,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.69898,2.973998,0,1,0,0,339,8.878695,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
4524,Apartamento com  Quarto a† Venda, 59m2,Avenida Carlos Gomes,1130,59,Auxiliadora,951977,16135.20,8035.39,1,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.7663,2.973998,0,1,0,0,339,9.688759,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
3370,Apartamento com 3 Quartos a† Venda, 124m2,Avenida Carlos Gomes,9999,124,Auxiliadora,890000,7177.42,8035.39,3,4,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.69898,2.973998,0,1,0,0,339,8.878695,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3780,Apartamento com 2 Quartos a† Venda, 91m2,Avenida Coronel Lucas de Oliveira,192,91,Auxiliadora,680000,7472.53,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.42985,2.973998,0,1,0,0,339,8.918988,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
3858,Apartamento com 2 Quartos a† Venda, 91m2,Avenida Coronel Lucas de Oliveira,192,91,Auxiliadora,680000,7472.53,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.42985,2.973998,0,1,0,0,339,8.918988,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
543,Apartamento com 3 Quartos a† Venda, 106m2,Avenida Coronel Lucas de Oliveira,9999,106,Auxiliadora,790000,7452.83,8035.39,3,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.57979,2.973998,0,1,0,0,339,8.916349,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
1122,Apartamento com 3 Quartos a† Venda, 120m2,Avenida Coronel Lucas de Oliveira,10,120,Auxiliadora,1590000,13250.00,8035.39,3,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,14.27924,2.973998,0,1,0,0,339,9.491753,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
1236,Apartamento com 2 Quartos a† Venda, 65m2,Avenida Cristovao Colombo,9999,65,Auxiliadora,298000,4584.62,8035.39,2,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.60485,2.973998,0,1,0,0,339,8.430462,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
1104,Apartamento com 2 Quartos a† Venda, 65m2,Avenida Cristovao Colombo,2680,65,Auxiliadora,250000,3846.15,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.42922,2.973998,0,1,0,0,339,8.254828,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
1500,Apartamento com 2 Quartos a† Venda, 65m2,Avenida Cristovao Colombo,9999,65,Auxiliadora,298000,4584.62,8035.39,2,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.60485,2.973998,0,1,0,0,339,8.430462,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
9965,Apartamento com 3 Quartos a† Venda, 181m2,Avenida Mariland,9999,181,Auxiliadora,2000000,11049.72,8035.39,3,4,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,14.50866,2.973998,0,1,0,0,339,9.310161,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
1894,Apartamento com 2 Quartos a† Venda, 85m2,Avenida Mariland,0,85,Auxiliadora,270000,3176.47,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.50618,2.973998,0,1,0,0,339,8.063526,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
1827,Apartamento com 2 Quartos a† Venda, 64m2,Avenida Mariland,9999,64,Auxiliadora,398000,6218.75,8035.39,2,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.89421,2.973998,0,1,0,0,339,8.735324,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
1608,Apartamento com 2 Quartos a† Venda, 84m2,Avenida Mariland,1177,84,Auxiliadora,949990,11309.41,8035.39,2,3,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.76421,2.973998,0,1,0,0,339,9.33339,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
629,Apartamento com 2 Quartos a† Venda, 83m2,Avenida Mariland,181,83,Auxiliadora,595000,7168.67,8035.39,2,2,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.29632,2.973998,0,1,0,0,339,8.877476,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
